set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 ;

set weatherBins := 0 ;

param energyDemand := 
0 0 40953.208784 
0 1 38899.621982 
0 2 37515.107873 
0 3 36671.970895 
0 4 36590.928050 
0 5 37613.050924 
0 6 39683.451122 
0 7 40656.144979 
0 8 41934.272636 
0 9 44506.702826 
0 10 47575.320855 
0 11 50801.842801 
0 12 53805.683989 
0 13 57063.448454 
0 14 59761.802691 
0 15 61756.695342 
0 16 62461.171273 
0 17 61359.981503 
0 18 58074.184133 
0 19 55404.947509 
0 20 53120.330683 
0 21 50555.618746 
0 22 47744.827943 
0 23 44736.241477 
1 0 41940.001099 
1 1 39753.405723 
1 2 38219.544549 
1 3 37125.459468 
1 4 36487.319079 
1 5 36493.824533 
1 6 37068.805071 
1 7 37662.441593 
1 8 39289.246669 
1 9 42247.522667 
1 10 45498.931344 
1 11 48562.406374 
1 12 51584.006309 
1 13 54516.592769 
1 14 57013.280895 
1 15 59032.129361 
1 16 59911.580761 
1 17 59239.570872 
1 18 56668.733958 
1 19 54181.683744 
1 20 52062.228567 
1 21 49624.034514 
1 22 46994.199078 
1 23 44495.087098 
2 0 42099.557074 
2 1 40140.157024 
2 2 38861.446968 
2 3 38058.383732 
2 4 37669.421090 
2 5 37834.927760 
2 6 38557.128807 
2 7 39401.702237 
2 8 41258.416945 
2 9 44416.558374 
2 10 47498.205230 
2 11 50465.488963 
2 12 53228.736275 
2 13 55894.215570 
2 14 58287.277517 
2 15 59957.680177 
2 16 60797.197739 
2 17 60625.844887 
2 18 59201.000280 
2 19 58549.979398 
2 20 57302.382735 
2 21 54647.616933 
2 22 50293.478289 
2 23 46842.987917 
3 0 43481.951267 
3 1 40733.375156 
3 2 38947.549007 
3 3 38037.693008 
3 4 37601.595957 
3 5 37798.101891 
3 6 39036.289249 
3 7 39915.096369 
3 8 40621.770534 
3 9 42343.748334 
3 10 44288.090204 
3 11 45987.599469 
3 12 47729.298278 
3 13 50112.569599 
3 14 52551.476217 
3 15 54745.116972 
3 16 56110.483083 
3 17 55956.410974 
3 18 53867.435281 
3 19 52364.867891 
3 20 50838.048821 
3 21 48505.173554 
3 22 45250.455305 
3 23 42122.619460 
4 0 39718.568179 
4 1 38243.200105 
4 2 37412.809547 
4 3 37146.185681 
4 4 37709.377086 
4 5 39590.651813 
4 6 42394.770335 
4 7 43868.607395 
4 8 44686.751350 
4 9 46587.333661 
4 10 48784.034588 
4 11 50954.947106 
4 12 52923.210379 
4 13 55097.524035 
4 14 56694.549871 
4 15 58081.707005 
4 16 58759.350711 
4 17 58177.839174 
4 18 56952.219273 
4 19 56715.543575 
4 20 55677.570640 
4 21 53810.250742 
4 22 50983.287969 
4 23 48010.158058 
5 0 45572.985774 
5 1 43870.741226 
5 2 42717.889642 
5 3 42167.421179 
5 4 42254.742405 
5 5 43407.675005 
5 6 45651.424539 
5 7 46589.371191 
5 8 47132.098941 
5 9 48930.876806 
5 10 51081.016463 
5 11 53126.127708 
5 12 55254.396065 
5 13 57122.209789 
5 14 58080.055932 
5 15 58075.524301 
5 16 57685.797111 
5 17 56533.557079 
5 18 54881.430570 
5 19 53829.790433 
5 20 52011.495699 
5 21 49447.139903 
5 22 46358.772255 
5 23 43357.675091 
6 0 40883.055618 
6 1 39151.874696 
6 2 38057.295877 
6 3 37411.024962 
6 4 37617.169475 
6 5 39080.908242 
6 6 41667.586168 
6 7 43320.832302 
6 8 43806.736688 
6 9 44654.980802 
6 10 45778.190979 
6 11 46876.568662 
6 12 48271.260195 
6 13 49767.232234 
6 14 51058.509186 
6 15 52525.842564 
6 16 53847.475685 
6 17 54191.054980 
6 18 53004.830533 
6 19 52347.541901 
6 20 51009.613626 
6 21 48897.926744 
6 22 46109.596658 
6 23 43138.689047 
7 0 40714.147397 
7 1 39041.056713 
7 2 37984.918074 
7 3 37453.675128 
7 4 37758.190001 
7 5 39211.656810 
7 6 41920.224953 
7 7 43512.896809 
7 8 44381.848287 
7 9 46367.074510 
7 10 48466.473716 
7 11 50640.097124 
7 12 52592.411562 
7 13 54521.385761 
7 14 55524.192178 
7 15 55164.886045 
7 16 53932.918221 
7 17 52423.819218 
7 18 49622.596021 
7 19 47993.880285 
7 20 46114.573698 
7 21 43970.470329 
7 22 41498.996099 
7 23 38767.793754 
8 0 36295.406819 
8 1 34463.483561 
8 2 33203.987921 
8 3 32333.838554 
8 4 31945.852641 
8 5 32172.790386 
8 6 32963.217413 
8 7 33756.117541 
8 8 34811.159709 
8 9 36063.865095 
8 10 36980.590353 
8 11 37554.369764 
8 12 37975.472807 
8 13 38393.894284 
8 14 38958.632484 
8 15 39650.834101 
8 16 40261.767587 
8 17 40307.423036 
8 18 39438.742522 
8 19 39467.239367 
8 20 38500.188902 
8 21 37146.438919 
8 22 35618.515726 
8 23 33961.486820 
9 0 32366.542612 
9 1 31285.237789 
9 2 30480.438775 
9 3 30073.864742 
9 4 29964.875007 
9 5 30229.722353 
9 6 30846.285328 
9 7 31623.871988 
9 8 32787.098660 
9 9 34062.291674 
9 10 35070.512071 
9 11 35879.059135 
9 12 36626.204644 
9 13 37375.158365 
9 14 38300.234539 
9 15 39239.072737 
9 16 39887.381014 
9 17 40073.834291 
9 18 39631.967714 
9 19 40579.949218 
9 20 39992.094672 
9 21 38509.486777 
9 22 36347.813116 
9 23 34230.765288 
10 0 32385.811436 
10 1 31274.016107 
10 2 30755.478945 
10 3 30686.443994 
10 4 31193.734201 
10 5 32707.724772 
10 6 35535.412342 
10 7 37219.060531 
10 8 37620.633459 
10 9 38404.786138 
10 10 39286.172441 
10 11 40124.774518 
10 12 40931.558265 
10 13 42014.094105 
10 14 43105.916399 
10 15 44196.577157 
10 16 45233.816669 
10 17 45252.532586 
10 18 44294.016847 
10 19 44343.646314 
10 20 43382.210960 
10 21 41546.526421 
10 22 38978.245150 
10 23 36278.991621 
11 0 34248.466194 
11 1 33100.330251 
11 2 32363.345286 
11 3 32093.635837 
11 4 32552.699183 
11 5 33953.158484 
11 6 36668.675507 
11 7 38007.673892 
11 8 38423.548160 
11 9 39483.965707 
11 10 40820.469915 
11 11 42452.220256 
11 12 44130.196679 
11 13 45949.434301 
11 14 47637.811959 
11 15 49019.048590 
11 16 50068.890452 
11 17 49870.407311 
11 18 48549.211914 
11 19 48243.620320 
11 20 47096.283128 
11 21 45148.272493 
11 22 42332.034313 
11 23 39321.013301 
12 0 36977.597340 
12 1 35433.318567 
12 2 34557.299133 
12 3 34211.776125 
12 4 34572.417413 
12 5 36117.637754 
12 6 38798.414183 
12 7 40086.956511 
12 8 40445.706653 
12 9 42018.234858 
12 10 44043.958116 
12 11 46144.469778 
12 12 48164.328517 
12 13 50292.581750 
12 14 52004.441384 
12 15 53328.458275 
12 16 54100.128990 
12 17 53746.540721 
12 18 52232.249019 
12 19 51539.828540 
12 20 50012.985645 
12 21 47664.314700 
12 22 44392.300474 
12 23 41055.166639 
13 0 38354.284149 
13 1 36539.128941 
13 2 35444.491910 
13 3 34900.072671 
13 4 35109.880799 
13 5 36507.706852 
13 6 39124.054764 
13 7 40397.735423 
13 8 40856.242605 
13 9 42442.754963 
13 10 44461.365842 
13 11 46736.409883 
13 12 49050.053995 
13 13 51344.908557 
13 14 52963.506577 
13 15 54363.543095 
13 16 55190.829887 
13 17 54559.344723 
13 18 52359.085199 
13 19 51044.624607 
13 20 49306.020294 
13 21 46924.088591 
13 22 43820.812090 
13 23 40611.432578 
14 0 37974.624460 
14 1 36141.938849 
14 2 34940.287751 
14 3 34347.548722 
14 4 34446.697002 
14 5 35679.250041 
14 6 38276.877055 
14 7 39649.825594 
14 8 40282.733600 
14 9 42013.866392 
14 10 44281.835068 
14 11 46727.231972 
14 12 49109.194099 
14 13 51649.988652 
14 14 53688.065508 
14 15 55421.908378 
14 16 56116.173280 
14 17 55281.420614 
14 18 52589.178981 
14 19 50979.319205 
14 20 49194.152722 
14 21 47389.001505 
14 22 45211.714663 
14 23 42767.649483;

param histWeather := 
0 0 21.400000 
0 1 20.800000 
0 2 20.900000 
0 3 19.900000 
0 4 19.300000 
0 5 19.100000 
0 6 19.000000 
0 7 18.300000 
0 8 18.500000 
0 9 21.700000 
0 10 25.100000 
0 11 27.700000 
0 12 29.100000 
0 13 30.300000 
0 14 31.200000 
0 15 31.800000 
0 16 31.900000 
0 17 31.700000 
0 18 30.500000 
0 19 27.300000 
0 20 25.600000 
0 21 24.200000 
0 22 22.900000 
0 23 22.000000 
1 0 21.400000 
1 1 21.000000 
1 2 20.100000 
1 3 19.400000 
1 4 19.000000 
1 5 18.700000 
1 6 18.000000 
1 7 17.600000 
1 8 18.400000 
1 9 20.600000 
1 10 24.000000 
1 11 26.900000 
1 12 28.300000 
1 13 29.400000 
1 14 30.400000 
1 15 31.200000 
1 16 31.300000 
1 17 30.900000 
