set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 ;

set weatherBins := 0 1 2 3 4 5 6 7 8 ;

param energyDemand := 
0 0 34959.302119 
0 1 34228.791122 
0 2 34093.251734 
0 3 34273.165386 
0 4 35133.099789 
0 5 37269.111829 
0 6 40626.743062 
0 7 42796.454958 
0 8 42931.939428 
0 9 42319.817655 
0 10 41575.951212 
0 11 40717.302267 
0 12 39753.526068 
0 13 39084.475336 
0 14 38599.251852 
0 15 38285.675321 
0 16 38416.883557 
0 17 38413.295262 
0 18 38586.805171 
0 19 39462.203181 
0 20 39225.233026 
0 21 38609.296002 
0 22 37495.304306 
0 23 36199.463909 
1 0 35053.622538 
1 1 34339.733447 
1 2 34030.154486 
1 3 34118.270788 
1 4 34377.155924 
1 5 35300.310791 
1 6 36903.614490 
1 7 38738.575773 
1 8 39885.693640 
1 9 39899.718207 
1 10 39150.919057 
1 11 38174.480032 
1 12 37329.491714 
1 13 36885.119710 
1 14 36573.629678 
1 15 36667.440838 
1 16 36969.330089 
1 17 37159.352069 
1 18 37448.200098 
1 19 38156.725406 
1 20 37791.980131 
1 21 37082.157687 
1 22 36030.239835 
1 23 34689.791363 
2 0 33823.231951 
2 1 33049.815345 
2 2 33049.815345 
2 3 32661.760943 
2 4 32503.665084 
2 5 32596.774660 
2 6 32897.996763 
2 7 33787.729107 
2 8 35093.085748 
2 9 36427.954644 
2 10 37271.255155 
2 11 37439.904742 
2 12 37155.962036 
2 13 37123.496492 
2 14 37430.833190 
2 15 37869.108416 
2 16 38350.698279 
2 17 38944.565567 
2 18 39223.414681 
2 19 39525.913935 
2 20 40445.352256 
2 21 39900.416360 
2 22 38887.216442 
2 23 37535.672718 
3 0 35606.530161 
3 1 33687.367753 
3 2 32410.605985 
3 3 31792.521086 
3 4 31604.755429 
3 5 31817.186696 
3 6 32766.279130 
3 7 34914.630198 
3 8 38209.069305 
3 9 39393.908654 
3 10 39605.567036 
3 11 39916.627638 
3 12 40279.009807 
3 13 40697.989060 
3 14 41083.286664 
3 15 41775.276717 
3 16 42326.700671 
3 17 42598.329191 
3 18 42676.129584 
3 19 42878.227881 
3 20 43512.609143 
3 21 42664.578713 
3 22 41419.966432 
3 23 39674.529893 
4 0 37229.065910 
4 1 35017.662422 
4 2 33394.050748 
4 3 32413.874254 
4 4 31906.331655 
4 5 31796.340640 
4 6 32305.096698 
4 7 34015.590129 
4 8 36896.265423 
4 9 38026.468942 
4 10 38543.778831 
4 11 39242.666264 
4 12 39953.040669 
4 13 40672.514286 
4 14 41218.266474 
4 15 41915.084495 
4 16 42385.383234 
4 17 42667.713796 
4 18 42679.569487 
4 19 42666.872078 
4 20 43529.967596 
4 21 42715.972357 
4 22 41683.312858 
4 23 40068.540860 
5 0 37793.764102 
5 1 35492.681452 
5 2 33785.207500 
5 3 32862.252304 
5 4 32337.554002 
5 5 32143.118912 
5 6 32706.608410 
5 7 34539.928381 
5 8 37470.886981 
5 9 38817.613578 
5 10 39631.107834 
5 11 40665.277927 
5 12 41870.434855 
5 13 42825.373412 
5 14 43688.117660 
5 15 44582.623490 
5 16 45112.404231 
5 17 45240.149825 
5 18 45254.009511 
5 19 45137.813259 
5 20 45442.755296 
5 21 44427.254152 
5 22 43300.691117 
5 23 41440.039139 
6 0 39036.505792 
6 1 36581.616803 
6 2 34853.259578 
6 3 33645.196862 
6 4 32859.315616 
6 5 32495.063794 
6 6 32881.093982 
6 7 34425.767009 
6 8 37271.500643 
6 9 38378.080938 
6 10 39092.521574 
6 11 39853.998928 
6 12 40524.186873 
6 13 41167.339632 
6 14 41787.086298 
6 15 42511.465909 
6 16 42952.687732 
6 17 43037.779195 
6 18 42792.621365 
6 19 42611.514683 
6 20 42894.021209 
6 21 41935.982326 
6 22 40905.094506 
6 23 39465.539007 
7 0 37357.470246 
7 1 35444.098272 
7 2 34083.485085 
7 3 33373.164259 
7 4 33004.788126 
7 5 33109.711365 
7 6 33773.535795 
7 7 35725.392442 
7 8 38879.728893 
7 9 40241.365840 
7 10 40435.568941 
7 11 40595.550907 
7 12 40774.826376 
7 13 41156.566394 
7 14 41509.562621 
7 15 42127.160508 
7 16 42447.891406 
7 17 42410.124187 
7 18 42025.271458 
7 19 41724.817287 
7 20 41896.920547 
7 21 40844.550134 
7 22 39908.518439 
